id,report_type_id,company_id,"name","uuid",total_score,published_by,"published_at",published_immediately,created_by,"created_at",updated_by,"updated_at",deleted_by,"deleted_at"
190,1,81,NULL,"fbe70309-51e3-fb54-c5ee-7c6a44c746c8",147,13,"2008-04-14 00:00:00",0,13,"2010-01-26 16:10:39",1,"2010-04-15 01:32:14",NULL,NULL
191,1,19,NULL,"579b73da-04f7-2924-b570-11b20beddff8",195,1,"2008-04-14 00:00:00",0,1,"2009-10-28 15:07:02",1,"2010-04-15 01:32:16",NULL,NULL
192,1,19,NULL,"404a38d2-b627-5e44-d591-d94c8c199b81",197,1,"2007-04-14 00:00:00",0,1,"2009-10-28 15:07:02",1,"2010-04-15 01:32:19",NULL,NULL
193,1,75,NULL,"a0ca257f-c7a1-41a4-4910-1db8125abceb",189,1,"2010-04-14 00:00:00",0,15,"2010-02-01 14:57:12",13,"2011-04-20 13:38:25",NULL,NULL
194,1,75,NULL,"8c9dc961-04ad-ed74-0185-e62a09cf2381",192,15,"2009-04-14 00:00:00",0,15,"2010-02-01 14:57:12",1,"2010-04-15 01:32:33",NULL,NULL
195,1,75,NULL,"aa009e36-bf67-c3d4-6d08-ce56bd627d35",180,15,"2008-04-14 00:00:00",0,15,"2010-02-01 14:57:12",1,"2010-04-15 01:32:35",NULL,NULL
196,1,63,NULL,"7a230dfd-9704-b954-7568-4075f6876ae9",127,1,"2010-04-14 00:00:00",0,6,"2010-03-04 22:53:13",13,"2011-04-20 13:38:25",NULL,NULL
197,1,83,NULL,"d315fb9a-c1d5-aee4-a517-a026dc6579de",179,1,"2010-04-14 00:00:00",0,13,"2010-02-11 13:11:23",13,"2011-04-20 13:38:25",NULL,NULL
198,1,83,NULL,"eafc13d4-e731-47e4-c9f1-6a54e306f96c",181,13,"2009-04-14 00:00:00",0,13,"2010-02-11 13:11:23",1,"2010-04-15 01:32:53",NULL,NULL
199,1,83,NULL,"2e718e01-8837-1c14-cd22-2dab27bc100f",151,13,"2008-04-14 00:00:00",0,13,"2010-02-11 13:11:23",1,"2010-04-15 01:32:55",NULL,NULL
200,1,83,NULL,"5755bcb5-5219-9384-8d5b-4f5414943a8c",152,13,"2007-04-14 00:00:00",0,13,"2010-02-11 13:11:23",1,"2010-04-15 01:32:57",NULL,NULL
201,1,34,NULL,"a6c4fb88-c80a-7404-0925-dc193113656c",162,1,"2010-04-14 00:00:00",0,5,"2009-12-08 07:14:13",13,"2011-04-20 13:38:25",NULL,NULL
202,1,34,NULL,"ed0bfb5f-c07c-4174-99c5-cf05202c4af4",154,13,"2009-04-14 00:00:00",0,5,"2009-12-08 07:14:13",1,"2010-04-15 01:33:09",NULL,NULL
203,1,34,NULL,"075c334a-bbed-d9a4-7130-98eb851d5737",144,5,"2008-04-14 00:00:00",0,5,"2009-12-08 07:14:13",1,"2010-04-15 01:33:11",NULL,NULL
204,1,34,NULL,"cf2dbdbf-b456-cf44-75b1-58b74f8f768b",148,5,"2007-04-14 00:00:00",0,5,"2009-12-08 07:14:13",1,"2010-04-15 01:33:13",NULL,NULL
205,1,59,NULL,"fb77390d-9e67-fce4-ed4f-228e320bbf05",148,1,"2010-04-14 00:00:00",0,6,"2010-02-08 18:15:22",13,"2011-04-20 13:38:25",NULL,NULL
206,1,13,NULL,"ce2e4dca-ed75-7614-9929-df204d141aea",182,1,"2010-04-14 00:00:00",0,1,"2009-10-27 12:26:50",13,"2011-04-20 13:38:25",NULL,NULL
207,1,13,NULL,"e936d511-15ec-3fd4-cd63-64727fcb20be",191,13,"2009-04-14 00:00:00",0,1,"2009-10-27 12:26:50",1,"2010-04-15 01:33:37",NULL,NULL
208,1,13,NULL,"d70d5eeb-a54f-c7c4-51cf-8989e93cba01",190,1,"2008-04-14 00:00:00",0,1,"2009-10-27 12:26:50",1,"2010-04-15 01:33:39",NULL,NULL
